Event_id Flavor CC_NC Elst Ant_Res Off_cone Useful_Ch
311 NuMu NC 0.9 -30 1.0 2
312 NuE CC 0.1 -30 1.5 2
313 NuMu NC 0.9 -30 1.5 2
314 NuE CC 0.1 -30 2.0 2
315 NuMu NC 0.9 -30 2.0 2
316 NuE CC 0.1 -30 2.5 2
317 NuMu NC 0.9 -30 2.5 2
318 NuE CC 0.1 -30 3.0 2
319 NuMu NC 0.9 -30 3.0 2
320 NuE CC 0.1 -30 3.5 2
321 NuMu NC 0.9 -30 3.5 2
322 NuE CC 0.1 -30 4.0 2
323 NuMu NC 0.9 -30 4.0 2
324 NuE CC 0.1 -40 0.0 2
325 NuMu NC 0.9 -40 0.0 2
326 NuE CC 0.1 -40 0.5 2
327 NuMu NC 0.9 -40 0.5 2
328 NuE CC 0.1 -40 1.0 2
329 NuMu NC 0.9 -40 1.0 2
330 NuE CC 0.1 -40 1.5 2
331 NuMu NC 0.9 -40 1.5 2
332 NuE CC 0.1 -40 2.0 2
333 NuMu NC 0.9 -40 2.0 2
334 NuE CC 0.1 -40 2.5 2
335 NuMu NC 0.9 -40 2.5 2
336 NuE CC 0.1 -40 3.0 2
337 NuMu NC 0.9 -40 3.0 2
338 NuE CC 0.1 -40 3.5 2
339 NuMu NC 0.9 -40 3.5 2
340 NuE CC 0.1 -40 4.0 2
341 NuMu NC 0.9 -40 4.0 2
342 NuE CC 0.1 -50 0.0 2
343 NuMu NC 0.9 -50 0.0 2
344 NuE CC 0.1 -50 0.5 2
345 NuMu NC 0.9 -50 0.5 2
346 NuE CC 0.1 -50 1.0 2
347 NuMu NC 0.9 -50 1.0 2
348 NuE CC 0.1 -50 1.5 2
349 NuMu NC 0.9 -50 1.5 2
350 NuE CC 0.1 -50 2.0 2
351 NuMu NC 0.9 -50 2.0 2
352 NuE CC 0.1 -50 2.5 2
353 NuMu NC 0.9 -50 2.5 2
354 NuE CC 0.1 -50 3.0 2
355 NuMu NC 0.9 -50 3.0 2
356 NuE CC 0.1 -50 3.5 2
357 NuMu NC 0.9 -50 3.5 2
358 NuE CC 0.1 -50 4.0 2
359 NuMu NC 0.9 -50 4.0 2
360 NuE CC 0.1 -60 0.0 2
361 NuMu NC 0.9 -60 0.0 2
362 NuE CC 0.1 -60 0.5 2
363 NuMu NC 0.9 -60 0.5 2
364 NuE CC 0.1 -60 1.0 2
365 NuMu NC 0.9 -60 1.0 2
366 NuE CC 0.1 -60 1.5 2
367 NuMu NC 0.9 -60 1.5 2
368 NuE CC 0.1 -60 2.0 2
369 NuMu NC 0.9 -60 2.0 2
370 NuE CC 0.1 -60 2.5 2
371 NuMu NC 0.9 -60 2.5 2
372 NuE CC 0.1 -60 3.0 2
373 NuMu NC 0.9 -60 3.0 2
374 NuE CC 0.1 -60 3.5 2
375 NuMu NC 0.9 -60 3.5 2
376 NuE CC 0.1 -60 4.0 2
377 NuMu NC 0.9 -60 4.0 2
378 NuE CC 0.1 0 0.0 3
379 NuMu NC 0.9 0 0.0 3
380 NuE CC 0.1 0 0.5 3
381 NuMu NC 0.9 0 0.5 3
382 NuE CC 0.1 0 1.0 3
383 NuMu NC 0.9 0 1.0 3
384 NuE CC 0.1 0 1.5 3
385 NuMu NC 0.9 0 1.5 3
386 NuE CC 0.1 0 2.0 3
387 NuMu NC 0.9 0 2.0 3
388 NuE CC 0.1 0 2.5 3
389 NuMu NC 0.9 0 2.5 3
390 NuE CC 0.1 0 3.0 3
391 NuMu NC 0.9 0 3.0 3
392 NuE CC 0.1 0 3.5 3
393 NuMu NC 0.9 0 3.5 3
394 NuE CC 0.1 0 4.0 3
395 NuMu NC 0.9 0 4.0 3
396 NuE CC 0.1 -10 0.0 3
397 NuMu NC 0.9 -10 0.0 3
398 NuE CC 0.1 -10 0.5 3
399 NuMu NC 0.9 -10 0.5 3
400 NuE CC 0.1 -10 1.0 3
401 NuMu NC 0.9 -10 1.0 3
402 NuE CC 0.1 -10 1.5 3
403 NuMu NC 0.9 -10 1.5 3
404 NuE CC 0.1 -10 2.0 3
405 NuMu NC 0.9 -10 2.0 3
406 NuE CC 0.1 -10 2.5 3
407 NuMu NC 0.9 -10 2.5 3
408 NuE CC 0.1 -10 3.0 3
409 NuMu NC 0.9 -10 3.0 3
410 NuE CC 0.1 -10 3.5 3
411 NuMu NC 0.9 -10 3.5 3
412 NuE CC 0.1 -10 4.0 3
413 NuMu NC 0.9 -10 4.0 3
414 NuE CC 0.1 -20 0.0 3
415 NuMu NC 0.9 -20 0.0 3
416 NuE CC 0.1 -20 0.5 3
417 NuMu NC 0.9 -20 0.5 3
418 NuE CC 0.1 -20 1.0 3
419 NuMu NC 0.9 -20 1.0 3
420 NuE CC 0.1 -20 1.5 3
421 NuMu NC 0.9 -20 1.5 3
422 NuE CC 0.1 -20 2.0 3
423 NuMu NC 0.9 -20 2.0 3
424 NuE CC 0.1 -20 2.5 3
425 NuMu NC 0.9 -20 2.5 3
426 NuE CC 0.1 -20 3.0 3
427 NuMu NC 0.9 -20 3.0 3
428 NuE CC 0.1 -20 3.5 3
429 NuMu NC 0.9 -20 3.5 3
430 NuE CC 0.1 -20 4.0 3
431 NuMu NC 0.9 -20 4.0 3
432 NuE CC 0.1 -30 0.0 3
433 NuMu NC 0.9 -30 0.0 3
434 NuE CC 0.1 -30 0.5 3
435 NuMu NC 0.9 -30 0.5 3
436 NuE CC 0.1 -30 1.0 3
437 NuMu NC 0.9 -30 1.0 3
438 NuE CC 0.1 -30 1.5 3
439 NuMu NC 0.9 -30 1.5 3
440 NuE CC 0.1 -30 2.0 3
441 NuMu NC 0.9 -30 2.0 3
442 NuE CC 0.1 -30 2.5 3
443 NuMu NC 0.9 -30 2.5 3
444 NuE CC 0.1 -30 3.0 3
445 NuMu NC 0.9 -30 3.0 3
446 NuE CC 0.1 -30 3.5 3
447 NuMu NC 0.9 -30 3.5 3
448 NuE CC 0.1 -30 4.0 3
449 NuMu NC 0.9 -30 4.0 3
450 NuE CC 0.1 -40 0.0 3
451 NuMu NC 0.9 -40 0.0 3
452 NuE CC 0.1 -40 0.5 3
453 NuMu NC 0.9 -40 0.5 3
454 NuE CC 0.1 -40 1.0 3
455 NuMu NC 0.9 -40 1.0 3
456 NuE CC 0.1 -40 1.5 3
457 NuMu NC 0.9 -40 1.5 3
458 NuE CC 0.1 -40 2.0 3
459 NuMu NC 0.9 -40 2.0 3
460 NuE CC 0.1 -40 2.5 3
461 NuMu NC 0.9 -40 2.5 3
462 NuE CC 0.1 -40 3.0 3
463 NuMu NC 0.9 -40 3.0 3
464 NuE CC 0.1 -40 3.5 3
465 NuMu NC 0.9 -40 3.5 3
466 NuE CC 0.1 -40 4.0 3
467 NuMu NC 0.9 -40 4.0 3
468 NuE CC 0.1 -50 0.0 3
469 NuMu NC 0.9 -50 0.0 3
470 NuE CC 0.1 -50 0.5 3
471 NuMu NC 0.9 -50 0.5 3
472 NuE CC 0.1 -50 1.0 3
473 NuMu NC 0.9 -50 1.0 3
474 NuE CC 0.1 -50 1.5 3
475 NuMu NC 0.9 -50 1.5 3
476 NuE CC 0.1 -50 2.0 3
477 NuMu NC 0.9 -50 2.0 3
478 NuE CC 0.1 -50 2.5 3
479 NuMu NC 0.9 -50 2.5 3
480 NuE CC 0.1 -50 3.0 3
481 NuMu NC 0.9 -50 3.0 3
482 NuE CC 0.1 -50 3.5 3
483 NuMu NC 0.9 -50 3.5 3
484 NuE CC 0.1 -50 4.0 3
485 NuMu NC 0.9 -50 4.0 3
486 NuE CC 0.1 -60 0.0 3
487 NuMu NC 0.9 -60 0.0 3
488 NuE CC 0.1 -60 0.5 3
489 NuMu NC 0.9 -60 0.5 3
490 NuE CC 0.1 -60 1.0 3
