Event_id Flavor CC_NC Elst Ant_Res Off_cone Useful_Ch
473 NuMu NC 0.3 -45 3 2
474 NuE CC 0.1 -45 4 2
475 NuE CC 0.4 -45 4 2
476 NuE CC 0.7 -45 4 2
477 NuMu NC 0.9 -45 4 2
478 NuMu NC 0.6 -45 4 2
479 NuMu NC 0.3 -45 4 2
480 NuE CC 0.1 -60 0 2
481 NuE CC 0.4 -60 0 2
482 NuE CC 0.7 -60 0 2
483 NuMu NC 0.9 -60 0 2
484 NuMu NC 0.6 -60 0 2
485 NuMu NC 0.3 -60 0 2
486 NuE CC 0.1 -60 1 2
487 NuE CC 0.4 -60 1 2
488 NuE CC 0.7 -60 1 2
489 NuMu NC 0.9 -60 1 2
490 NuMu NC 0.6 -60 1 2
491 NuMu NC 0.3 -60 1 2
492 NuE CC 0.1 -60 2 2
493 NuE CC 0.4 -60 2 2
494 NuE CC 0.7 -60 2 2
495 NuMu NC 0.9 -60 2 2
496 NuMu NC 0.6 -60 2 2
497 NuMu NC 0.3 -60 2 2
498 NuE CC 0.1 -60 3 2
499 NuE CC 0.4 -60 3 2
500 NuE CC 0.7 -60 3 2
501 NuMu NC 0.9 -60 3 2
502 NuMu NC 0.6 -60 3 2
503 NuMu NC 0.3 -60 3 2
504 NuE CC 0.1 -60 4 2
505 NuE CC 0.4 -60 4 2
506 NuE CC 0.7 -60 4 2
507 NuMu NC 0.9 -60 4 2
508 NuMu NC 0.6 -60 4 2
509 NuMu NC 0.3 -60 4 2
510 NuE CC 0.1 -75 0 2
511 NuE CC 0.4 -75 0 2
512 NuE CC 0.7 -75 0 2
513 NuMu NC 0.9 -75 0 2
514 NuMu NC 0.6 -75 0 2
515 NuMu NC 0.3 -75 0 2
516 NuE CC 0.1 -75 1 2
517 NuE CC 0.4 -75 1 2
518 NuE CC 0.7 -75 1 2
519 NuMu NC 0.9 -75 1 2
520 NuMu NC 0.6 -75 1 2
521 NuMu NC 0.3 -75 1 2
522 NuE CC 0.1 -75 2 2
523 NuE CC 0.4 -75 2 2
524 NuE CC 0.7 -75 2 2
525 NuMu NC 0.9 -75 2 2
526 NuMu NC 0.6 -75 2 2
527 NuMu NC 0.3 -75 2 2
528 NuE CC 0.1 -75 3 2
529 NuE CC 0.4 -75 3 2
530 NuE CC 0.7 -75 3 2
531 NuMu NC 0.9 -75 3 2
532 NuMu NC 0.6 -75 3 2
533 NuMu NC 0.3 -75 3 2
534 NuE CC 0.1 -75 4 2
535 NuE CC 0.4 -75 4 2
536 NuE CC 0.7 -75 4 2
537 NuMu NC 0.9 -75 4 2
538 NuMu NC 0.6 -75 4 2
539 NuMu NC 0.3 -75 4 2
540 NuE CC 0.1 0 0 3
541 NuE CC 0.4 0 0 3
542 NuE CC 0.7 0 0 3
543 NuMu NC 0.9 0 0 3
544 NuMu NC 0.6 0 0 3
545 NuMu NC 0.3 0 0 3
546 NuE CC 0.1 0 1 3
547 NuE CC 0.4 0 1 3
548 NuE CC 0.7 0 1 3
549 NuMu NC 0.9 0 1 3
550 NuMu NC 0.6 0 1 3
551 NuMu NC 0.3 0 1 3
552 NuE CC 0.1 0 2 3
553 NuE CC 0.4 0 2 3
554 NuE CC 0.7 0 2 3
555 NuMu NC 0.9 0 2 3
556 NuMu NC 0.6 0 2 3
557 NuMu NC 0.3 0 2 3
558 NuE CC 0.1 0 3 3
559 NuE CC 0.4 0 3 3
560 NuE CC 0.7 0 3 3
561 NuMu NC 0.9 0 3 3
562 NuMu NC 0.6 0 3 3
563 NuMu NC 0.3 0 3 3
564 NuE CC 0.1 0 4 3
565 NuE CC 0.4 0 4 3
566 NuE CC 0.7 0 4 3
567 NuMu NC 0.9 0 4 3
568 NuMu NC 0.6 0 4 3
569 NuMu NC 0.3 0 4 3
570 NuE CC 0.1 -15 0 3
571 NuE CC 0.4 -15 0 3
572 NuE CC 0.7 -15 0 3
573 NuMu NC 0.9 -15 0 3
574 NuMu NC 0.6 -15 0 3
575 NuMu NC 0.3 -15 0 3
576 NuE CC 0.1 -15 1 3
577 NuE CC 0.4 -15 1 3
578 NuE CC 0.7 -15 1 3
579 NuMu NC 0.9 -15 1 3
580 NuMu NC 0.6 -15 1 3
581 NuMu NC 0.3 -15 1 3
582 NuE CC 0.1 -15 2 3
583 NuE CC 0.4 -15 2 3
584 NuE CC 0.7 -15 2 3
585 NuMu NC 0.9 -15 2 3
586 NuMu NC 0.6 -15 2 3
587 NuMu NC 0.3 -15 2 3
588 NuE CC 0.1 -15 3 3
589 NuE CC 0.4 -15 3 3
590 NuE CC 0.7 -15 3 3
591 NuMu NC 0.9 -15 3 3
592 NuMu NC 0.6 -15 3 3
593 NuMu NC 0.3 -15 3 3
594 NuE CC 0.1 -15 4 3
595 NuE CC 0.4 -15 4 3
596 NuE CC 0.7 -15 4 3
597 NuMu NC 0.9 -15 4 3
598 NuMu NC 0.6 -15 4 3
599 NuMu NC 0.3 -15 4 3
600 NuE CC 0.1 -30 0 3
601 NuE CC 0.4 -30 0 3
602 NuE CC 0.7 -30 0 3
603 NuMu NC 0.9 -30 0 3
604 NuMu NC 0.6 -30 0 3
605 NuMu NC 0.3 -30 0 3
606 NuE CC 0.1 -30 1 3
607 NuE CC 0.4 -30 1 3
608 NuE CC 0.7 -30 1 3
609 NuMu NC 0.9 -30 1 3
610 NuMu NC 0.6 -30 1 3
611 NuMu NC 0.3 -30 1 3
612 NuE CC 0.1 -30 2 3
613 NuE CC 0.4 -30 2 3
614 NuE CC 0.7 -30 2 3
615 NuMu NC 0.9 -30 2 3
616 NuMu NC 0.6 -30 2 3
617 NuMu NC 0.3 -30 2 3
618 NuE CC 0.1 -30 3 3
619 NuE CC 0.4 -30 3 3
620 NuE CC 0.7 -30 3 3
621 NuMu NC 0.9 -30 3 3
622 NuMu NC 0.6 -30 3 3
623 NuMu NC 0.3 -30 3 3
624 NuE CC 0.1 -30 4 3
625 NuE CC 0.4 -30 4 3
626 NuE CC 0.7 -30 4 3
627 NuMu NC 0.9 -30 4 3
628 NuMu NC 0.6 -30 4 3
629 NuMu NC 0.3 -30 4 3
630 NuE CC 0.1 -45 0 3
631 NuE CC 0.4 -45 0 3
632 NuE CC 0.7 -45 0 3
633 NuMu NC 0.9 -45 0 3
634 NuMu NC 0.6 -45 0 3
635 NuMu NC 0.3 -45 0 3
636 NuE CC 0.1 -45 1 3
637 NuE CC 0.4 -45 1 3
638 NuE CC 0.7 -45 1 3
639 NuMu NC 0.9 -45 1 3
640 NuMu NC 0.6 -45 1 3
641 NuMu NC 0.3 -45 1 3
642 NuE CC 0.1 -45 2 3
643 NuE CC 0.4 -45 2 3
644 NuE CC 0.7 -45 2 3
645 NuMu NC 0.9 -45 2 3
646 NuMu NC 0.6 -45 2 3
647 NuMu NC 0.3 -45 2 3
648 NuE CC 0.1 -45 3 3
649 NuE CC 0.4 -45 3 3
650 NuE CC 0.7 -45 3 3
651 NuMu NC 0.9 -45 3 3
652 NuMu NC 0.6 -45 3 3
653 NuMu NC 0.3 -45 3 3
654 NuE CC 0.1 -45 4 3
655 NuE CC 0.4 -45 4 3
656 NuE CC 0.7 -45 4 3
657 NuMu NC 0.9 -45 4 3
658 NuMu NC 0.6 -45 4 3
659 NuMu NC 0.3 -45 4 3
660 NuE CC 0.1 -60 0 3
661 NuE CC 0.4 -60 0 3
662 NuE CC 0.7 -60 0 3
663 NuMu NC 0.9 -60 0 3
664 NuMu NC 0.6 -60 0 3
665 NuMu NC 0.3 -60 0 3
666 NuE CC 0.1 -60 1 3
667 NuE CC 0.4 -60 1 3
668 NuE CC 0.7 -60 1 3
669 NuMu NC 0.9 -60 1 3
670 NuMu NC 0.6 -60 1 3
671 NuMu NC 0.3 -60 1 3
672 NuE CC 0.1 -60 2 3
673 NuE CC 0.4 -60 2 3
674 NuE CC 0.7 -60 2 3
675 NuMu NC 0.9 -60 2 3
676 NuMu NC 0.6 -60 2 3
677 NuMu NC 0.3 -60 2 3
678 NuE CC 0.1 -60 3 3
679 NuE CC 0.4 -60 3 3
680 NuE CC 0.7 -60 3 3
681 NuMu NC 0.9 -60 3 3
682 NuMu NC 0.6 -60 3 3
683 NuMu NC 0.3 -60 3 3
684 NuE CC 0.1 -60 4 3
685 NuE CC 0.4 -60 4 3
686 NuE CC 0.7 -60 4 3
687 NuMu NC 0.9 -60 4 3
688 NuMu NC 0.6 -60 4 3
689 NuMu NC 0.3 -60 4 3
690 NuE CC 0.1 -75 0 3
691 NuE CC 0.4 -75 0 3
692 NuE CC 0.7 -75 0 3
693 NuMu NC 0.9 -75 0 3
694 NuMu NC 0.6 -75 0 3
695 NuMu NC 0.3 -75 0 3
696 NuE CC 0.1 -75 1 3
697 NuE CC 0.4 -75 1 3
698 NuE CC 0.7 -75 1 3
699 NuMu NC 0.9 -75 1 3
700 NuMu NC 0.6 -75 1 3
701 NuMu NC 0.3 -75 1 3
702 NuE CC 0.1 -75 2 3
703 NuE CC 0.4 -75 2 3
704 NuE CC 0.7 -75 2 3
705 NuMu NC 0.9 -75 2 3
706 NuMu NC 0.6 -75 2 3
707 NuMu NC 0.3 -75 2 3
